20230805	23:08:27	3eb02060-fe21-4f89-85f0-6ea8923f91ed	/new-page.html	GET
20230805	23:08:40	4582f774-66ec-4a02-a6f6-f2bc55879f50	/new-page.html	GET
20230806	16:26:21	30037d70-7046-4b6e-9025-fcac3fbdd3b3	GET	undefined	/css/style.css
20230806	16:26:31	8f28b7f3-9b46-4bb7-8cfc-c4daaecb0b91	GET	undefined	/subdir
20230806	16:26:42	1cf0a32b-d571-4535-b3a3-98f767b29c20	GET	undefined	/subdir/test.html
20230806	16:27:46	6cc8726f-7ce4-4a7d-bbf1-278157c52e91	GET	undefined	/subdir/test.html
20230806	16:28:04	52c1a1c5-107d-4618-b8d8-f9c21a10c00d	GET	undefined	/subdir/new
20230806	16:28:04	6569a7d8-2dc9-4297-84f9-e6c46cb55657	GET	undefined	/subdir/css/style.css
20230806	16:28:08	fe3f7e59-c647-457f-8e63-0e24f3e2b02b	GET	undefined	/subdir/index
20230806	16:28:16	d639b5ac-8ac4-4106-9d15-d258e361519d	GET	undefined	/dave
20230806	16:28:16	c019f2ad-214a-4213-8288-f94505e6a0d2	GET	undefined	/css/style.css
20230806	16:28:55	1654f03f-0dbf-4e6d-9cdb-5291c08468ff	GET	undefined	/dave
20230806	16:28:55	7ed04617-4a4a-4595-a848-9f3c96bb68be	GET	undefined	/css/style.css
20230806	16:29:01	a4d80d38-ba76-4b52-b0dc-1b100f4e63c2	GET	undefined	/subdir/new
20230806	16:29:01	b26550d5-2216-43a6-96e4-ac9e72f421d3	GET	undefined	/subdir/css/style.css
20230806	16:38:37	9a7d7d50-47b9-4e45-8291-1be9767161b8	GET	undefined	/
20230806	16:38:37	3c1760c8-9a0f-4d70-8399-bee89e29e27a	GET	undefined	/css/style.css
20230806	16:38:41	f7eb240a-47ab-4bc4-ab5e-d8833b7c1c8a	GET	undefined	/new-page.html
20230806	16:38:41	727bf927-10c9-43a3-a371-a3b8531abd74	GET	undefined	/css/style.css
20230806	16:38:44	7ac269e8-fc7c-4b71-aeb8-01a72849d28f	GET	undefined	/new-page
20230806	16:38:44	9d99bf42-66fe-45b3-aae9-9bc7bf541162	GET	undefined	/css/style.css
20230806	16:38:47	21ea92ea-9336-46b5-a313-8bc77a9fd598	GET	undefined	/new-page.html
20230806	16:38:47	a3824619-8b34-4461-af35-7296daaba034	GET	undefined	/css/style.css
20230806	16:48:44	e63d7eec-df24-47bf-8cf8-eb28c39edf75	GET	undefined	/new-page.html
20230806	16:48:44	6301b2fa-4f15-4afd-80ce-d38cdd11da68	GET	undefined	/css/style.css
20230806	16:48:50	9f600ce0-e105-4b9a-93fe-6a7dfab03b8f	GET	undefined	/employees
20230806	16:54:36	f51dd32a-c6b0-4854-afc8-c8c1efca85b9	GET	undefined	/
20230806	16:54:36	65cd929d-8636-41d4-ae79-f35881f64359	GET	undefined	/css/style.css
20230806	18:37:40	ad88ff21-1e49-456f-a9dc-7fdd6fc0faa6	GET	undefined	/
20230806	18:37:40	e2a1e3ae-aa26-4740-97bb-1ebfdc945ecc	GET	undefined	/css/style.css
20230806	18:37:45	148bb40a-87e7-4107-a821-a4190a58a2e5	GET	undefined	/register
20230806	18:37:45	aaceb4db-2d53-4064-95b2-cddab02c3450	GET	undefined	/css/style.css
20230806	18:38:30	32447a1b-20ec-4c1e-9086-bd6ca54cf2c8	GET	undefined	/
20230806	18:38:30	b60b584f-83d5-4a38-83b4-d045b7471593	GET	undefined	/css/style.css
20230806	18:38:35	ab4dd446-5637-4dff-8c2f-4f62b74cfb3f	GET	undefined	/employees
20230806	18:57:41	13ec054c-f6e7-48db-8ebe-13f8f9acceb7	GET	undefined	/register
20230806	18:57:41	d52cb1ba-6ef9-42cc-a468-e5d928e6b69e	GET	undefined	/css/style.css
20230806	19:11:04	59d4f8a7-75ac-49c1-9bd1-dbde9689c122	GET	undefined	/register
20230806	19:11:04	257252ad-a671-4324-a74a-81ee16a7f7af	GET	undefined	/css/style.css
20230806	19:11:06	fbc5aad0-0cb4-49a4-869c-04a41ad3484f	GET	undefined	/
20230806	19:11:06	96c6d61d-dfab-44ef-b961-c2df4daab39d	GET	undefined	/css/style.css
20230806	19:12:41	3325b399-0f8f-4017-8c94-60f9f42dcaa6	GET	undefined	/
20230806	19:12:41	d184be18-d2b2-477c-9aec-a49a2ca70c2d	GET	undefined	/css/style.css
20230806	19:12:41	cbc804b1-28b8-4afd-9ea4-b1b132164462	GET	undefined	/favicon.ico
20230806	19:12:54	27d605f4-df87-49ce-9cf0-0faa43c94de6	GET	undefined	/register
20230806	19:13:05	d144562a-8cfa-4820-97af-41687a428012	GET	undefined	/auth
20230806	19:13:38	0fe98fa8-abe8-4371-a345-e565c9e6d0b6	POST	undefined	/register
20230806	19:13:45	903295f9-53a9-4b19-b673-6529b7b39443	GET	undefined	/register
20230806	19:17:45	e7d0b539-0551-490d-8617-9a70ca52a88f	POST	undefined	/register
20230806	19:17:48	ed0bd1c4-5ae1-4b6b-bcec-33b025a64f9b	GET	undefined	/register
20230806	19:19:33	81d257ec-e0fa-4bda-b2a3-9d32a4174d25	GET	undefined	/auth
20230806	19:19:42	664170bd-f74d-492b-845b-1b83ee6607e5	GET	undefined	/auth
20230806	19:20:21	02a34b9c-1846-4777-8688-c18f04bf3d55	POST	undefined	/register
20230806	19:20:41	a2e3b772-3e7e-483d-b28d-4593175ec54c	GET	undefined	/register
20230806	19:20:43	e2645ec0-8e14-4e66-a255-ad4c08b504ee	GET	undefined	/register
20230806	19:20:49	32a1c0da-fefb-4491-8df9-32abae3ad5fc	GET	undefined	/register
20230806	19:21:31	80818a7f-9bff-4a47-a041-2869743be152	GET	undefined	/auth
20230806	19:23:22	05748d36-140d-4400-a1e9-97a012599c08	GET	undefined	/auth
20230806	19:23:44	c046da1c-77bd-4afc-9615-a6e1aa777f90	GET	undefined	/register
20230806	19:23:53	af9b299e-486a-4be7-bc86-29a508d6082e	GET	undefined	/register
20230806	19:24:06	4270a692-261b-4bf6-828a-0f1af9eb0722	GET	undefined	/register
20230806	19:31:09	c946aef4-228f-46db-8ff2-0a3a95ea6ed9	GET	undefined	/auth
20230806	19:40:57	dced66ec-2c5f-47ca-ac5f-1d4b34dcfc7f	POST	undefined	/register
20230806	19:41:12	dad883e2-17c9-4f15-a565-41e3e9910253	POST	undefined	/register
20230806	19:41:25	65f112cb-6662-42f4-86f0-388301d45037	POST	undefined	/register
20230806	19:41:43	843d2840-b0ea-43bb-b060-ca36c80d2715	POST	undefined	/register
20230806	19:41:59	4d258c8d-4223-40db-99f4-41418018d17b	GET	undefined	/register
20230806	19:42:05	fa08042c-27e7-44ac-a060-34ce90a79bf9	PUT	undefined	/register
20230806	19:42:11	7e7799ec-bbd4-45fd-bc4f-5c8aa5d8c1a1	GET	undefined	/register
20230806	19:42:13	50dcf840-1561-48a5-8fb6-64502c1fec4b	GET	undefined	/register
20230806	20:15:57	90c05c81-601f-435f-95a8-1394777fc285	POST	undefined	/auth
20230806	20:16:59	a5e36625-e2ae-4872-95b7-15fdfd9c110f	GET	undefined	/employees
20230806	20:17:04	6c34c574-1072-4daf-9830-a2cb43aa7b12	POST	undefined	/auth
20230806	20:17:11	c80d9f32-6be5-44a3-9e1a-d0ad1735b40e	GET	undefined	/employees
20230806	20:17:38	7a26bec3-0424-4f0c-8ede-251f22eac076	GET	undefined	/employees
20230806	20:19:13	fd872b62-58ab-418a-b079-3b403abaf384	POST	undefined	/auth
20230806	20:19:19	b204a5e8-b16c-440f-bd18-1ba8350b654a	GET	undefined	/employees
20230806	20:19:24	bcc6cfe6-6858-4317-ae9b-9c871ed1d71d	GET	undefined	/employees
20230806	20:19:26	285a421f-be24-438f-b50e-94164ae2a4c7	GET	undefined	/employees
20230806	20:19:27	b9184151-f8fa-428f-b397-e9acde1786ef	GET	undefined	/employees
20230806	20:19:33	e643fa58-56bb-4fc9-8b2e-84a5841b2b74	GET	undefined	/employees
20230806	20:19:38	b0a7a58b-0eef-49d2-82f3-e6ca2369f8a4	GET	undefined	/employees
20230806	20:19:39	c8796e39-d6aa-4d00-96be-9b6f4b8cbd38	GET	undefined	/employees
20230806	20:19:39	3deebd23-ce53-41b7-90e2-8fb57c373afb	GET	undefined	/employees
20230806	20:19:46	cfa38a7d-b737-4bc2-8641-a17c8d401aed	GET	undefined	/employees
20230806	20:19:47	eb09ed44-f4fa-4ee5-9d07-7030f661aecb	GET	undefined	/employees
20230806	20:20:38	e6d6523e-57c1-4835-b5c2-7fac4aecc671	POST	undefined	/auth
20230806	20:20:40	4afe8531-8420-4857-8e6d-9619c4129daa	POST	undefined	/employees
20230806	20:20:41	9d9da970-258e-4b58-902d-f0cf9478f2e5	POST	undefined	/employees
20230806	20:20:52	28b743ee-a511-4206-901d-c3da4573e72e	POST	undefined	/employees
20230806	20:30:09	6fc16e69-c42b-4bbd-ae29-2347016bc9ed	POST	undefined	/auth
20230806	20:30:31	b5a6581a-8676-4e25-9db7-5d028d2a99e0	GET	undefined	/employees
20230806	20:31:04	91e5e0aa-7d97-4c0b-833a-3e1649552551	POST	undefined	/refresh
20230806	20:31:14	6914871a-9d61-4135-8f4b-5ea3e7073505	POST	undefined	/auth
20230806	20:31:20	8407e1ce-f37d-4518-8182-b2f85432081e	POST	undefined	/refresh
20230806	20:31:43	e0cc2422-64d4-40de-abfd-9a98e2adc3b5	POST	undefined	/refresh
20230806	20:31:44	7c700d91-0d2a-41d1-a74e-108fd87b68b6	POST	undefined	/refresh
20230806	20:31:50	4a8b5260-55bf-4434-8e14-c491c9439f99	POST	undefined	/auth
20230806	20:31:55	9bcced11-e33d-4d40-bc70-b3c4a910ff57	POST	undefined	/refresh
20230806	20:32:19	97a96e48-ee3b-4b32-96e9-82c520f8bf22	POST	undefined	/auth
20230806	20:32:21	30432505-1282-448c-a808-44c4060f2471	POST	undefined	/refresh
20230806	20:33:28	9b081232-7ba0-4007-be1e-ad687b2daa3f	POST	undefined	/refresh
20230806	20:33:33	e0594039-2492-4cf5-860a-430300e5555a	POST	undefined	/auth
20230806	20:33:35	4466e58c-313a-4c6b-a8d0-51570adad34c	POST	undefined	/refresh
20230806	20:33:39	aaf492c7-e2d9-4967-ade3-3daa0496b5b4	POST	undefined	/refresh
20230806	20:33:39	36a57358-e753-4344-9bf8-7a3d6983656a	POST	undefined	/refresh
20230806	20:33:52	455c1455-6b69-40dd-abb3-3a2d52350b0d	GET	undefined	/refresh
20230806	20:34:03	2faaedca-df9c-4845-9374-106690f79572	POST	undefined	/auth
20230806	20:34:06	917f5162-667f-4d3a-b467-7b886126175b	GET	undefined	/refresh
20230806	20:35:16	e7a8c2ce-7202-4ddc-a869-de56f31b6b5d	POST	undefined	/auth
20230806	20:35:20	d8a2cd20-fec7-4abb-82fd-6826554b616e	GET	undefined	/refresh
20230806	20:35:20	5f832e10-4aa8-486a-975f-273dfd7be9e8	GET	undefined	/refresh
20230806	20:35:21	4ee30d86-f831-4106-92a8-8223d1ee01b5	GET	undefined	/refresh
20230806	20:35:22	5eaa93f7-177b-43dd-83b2-5b9208e036c7	GET	undefined	/refresh
20230806	20:35:22	fe6b7171-bd36-45d3-aea4-51e717d2f724	GET	undefined	/refresh
20230806	20:35:48	5f86c291-22f1-4ed1-bffe-783cecce2511	GET	undefined	/employees
20230806	20:35:50	8f82de8c-8513-448e-8de8-554692e815c9	POST	undefined	/auth
20230806	20:35:57	b1f2de63-25d5-404a-b744-2f665d7bbf8f	GET	undefined	/employees
20230806	20:36:03	3a499c51-7c4b-43de-b272-b043ed1d73c1	GET	undefined	/refresh
20230806	20:37:10	6d2fe2f3-1771-4a68-997a-eac5816b0f3d	POST	undefined	/auth
20230806	20:37:12	025f0e6a-8fa9-40f2-94cc-a43167179b5d	GET	undefined	/refresh
20230806	20:39:41	d84ee769-4733-4a8f-9b0b-715ce29c0b6b	POST	undefined	/auth
20230806	20:39:52	0a26a22b-723c-478e-b279-090869654482	GET	undefined	/refresh
20230806	20:48:31	74ffc751-92ea-41da-b9d9-d160eaab2fe1	POST	undefined	/auth
20230806	20:48:50	551e1448-34cd-4ddf-99e1-b056f204cd6e	GET	undefined	/logout
20230806	20:52:38	a8540cb4-a710-4cd5-990f-29c76fe1bc84	GET	undefined	/refresh
20230806	20:52:43	591fb38c-0343-4a22-95e8-0adcc70cecc3	GET	undefined	/employees
20230806	20:52:45	7889a20e-7c0b-4eb8-8a02-281adbe26745	GET	undefined	/logout
20230806	20:53:02	ba80f482-5dd5-473b-bd37-f533ece93422	GET	undefined	/employees
20230806	20:53:08	efd43259-477c-4e2e-9384-a858759971a1	POST	undefined	/auth
20230806	20:53:14	fd1975eb-5cb8-4b8e-b6fd-13e34f35f2fd	GET	undefined	/employees
20230806	20:53:15	8c65de5f-9154-4c12-838b-edecd5ae128a	GET	undefined	/refresh
20230806	20:53:16	888f9f61-341f-4b70-b77b-7646cd44a36a	GET	undefined	/refresh
20230806	20:53:17	7c2a0647-286c-48db-b3eb-38489d4d5977	GET	undefined	/logout
20230806	20:53:20	edbc4a99-6cf9-4e50-afa3-33be0f9d3ef0	GET	undefined	/employees
20230806	20:53:20	dfe90558-e438-44a6-b91f-775678197664	GET	undefined	/employees
20230806	20:53:22	ba8950b9-4f44-461d-b0f7-4088f6accc34	GET	undefined	/refresh
20230806	20:53:25	f7ade098-f2b8-4315-845c-5a8fca458019	GET	undefined	/employees
20230806	20:53:26	108a44a3-186c-4a1e-9991-c3989d569d1f	GET	undefined	/employees
20230806	20:53:48	ab219a84-0d38-4a56-b03f-449349e32430	POST	undefined	/auth
20230806	20:53:49	7c91e7c9-2560-4940-af29-4185f9d4f2a7	GET	undefined	/refresh
20230806	20:53:51	23c21466-f861-476e-bc38-fbc1a003882a	GET	undefined	/logout
20230806	20:53:53	0551300e-7fb1-46e6-89eb-93403e00d962	GET	undefined	/refresh
20230806	20:54:27	5ccfc6d3-e7ee-4723-bce2-8ca5ac876360	POST	undefined	/auth
20230806	20:54:30	e794afcc-bad5-4946-9a8b-8e5cb3f0396f	GET	undefined	/refresh
20230806	20:54:32	be214c8f-ea37-464a-8c8a-247cbc01cfa7	GET	undefined	/logout
20230806	20:54:33	8b4818b7-d2b9-4951-9480-c754197fd455	GET	undefined	/refresh
20230806	20:54:44	65b797f8-b3d6-4116-8383-70788bb06992	GET	undefined	/refresh
20230806	20:54:55	be289e59-462f-4526-8261-b514d7282d3f	POST	undefined	/auth
20230806	20:54:56	f5f88aca-043e-4724-a236-82d0b17fcd57	GET	undefined	/refresh
